Page	Start	End	count
1	1	18	18
2	19	48	30
3	49	77	29
4	78	107	30
5	108	136	29
6	137	166	30
7	167	196	30
8	197	226	30
9	227	255	29
10	256	283	28
11	284	312	29
12	313	342	30
13	343	371	29
14	372	401	30
15	402	430	29
16	431	460	30
17	461	490	30
18	491	519	29
19	520	548	29
20	549	578	30
21	579	608	30
22	609	637	29
23	638	666	29
24	667	696	30
25	697	725	29
26	726	754	29
27	755	783	29
28	784	812	29
29	813	841	29
30	842	871	30
31	872	900	29
32	901	929	29
33	930	959	30
34	960	989	30
35	990	1018	29
36	1019	1047	29
37	1048	1077	30
38	1078	1107	30
39	1108	1137	30
40	1138	1167	30
41	1168	1196	29
42	1197	1225	29
43	1226	1254	29
44	1255	1283	29
45	1284	1312	29
46	1313	1342	30
47	1343	1371	29
48	1372	1401	30
49	1402	1430	29
50	1431	1460	30
51	1461	1489	29
52	1490	1518	29
53	1519	1548	30
54	1549	1578	30
55	1579	1607	30
56	1608	1637	30
57	1638	1666	29
58	1667	1696	30
59	1697	1725	29	After the verse 1713 the line is not a verse, the given numeration goes wrong from this place.
60	1726	1755	30
61	1756	1785	30
62	1786	1815	30
63	1816	1844	29
64	1845	1874	30
65	1875	1903	29
66	1904	1931	28
67	1932	1960	29
68	1961	1989	29
69	1990	2018	29
70	2019	2047	29
71	2048	2077	30
72	2078	2106	29
73	2107	2135	29
74	2136	2165	30
75	2166	2195	30
76	2196	2224	29
77	2225	2254	30
78	2255	2284	30
79	2285	2314	30
80	2315	2344	30
81	2345	2374	30
82	2375	2403	29
83	2404	2432	29
84	2433	2461	29
85	2462	2491	30
86	2492	2520	29
87	2521	2550	30
88	2551	2580	30
89	2581	1609	29
90	2610	2639	30
91	2640	2668	29
92	2669	2698	30
93	2699	2727	29
94	2728	2757	30
95	2758	2787	30
96	2788	2816	29
97	2817	2845	29
98	2846	2874	29
99	2875	2903	29
100	2904	2933	30
101	2934	2962	29
102	2963	2992	30
103	2993	3022	30
104	3023	3051	29
105	3052	3081	30
106	3082	3111	30
107	3112	3140	29
108	3141	3170	30
109	3171	3197	27
110	3198	3226	29
111	3227	3256	30
112	3257	3285	29
113	3286	3314	29
114	3315	3344	30
115	3345	3373	29
116	3374	3402	29
117	3403	3431	29
118	3432	3460	29
119	3461	3489	29
120	3490	3518	29
121	3519	3547	29
122	3548	3577	30
123	3578	3606	29
124	3607	3636	30
125	3637	3665	29
126	3666	3695	30
127	3696	3724	29
128	3725	3753	30
129	3754	3783	30
130	3784	3811	28
131	3812	3841	30
132	3842	3870	29
133	3871	3899	29
134	3900	3929	29
135	3930	3958	29
136	3959	3988	30
137	3989	4018	30
138	4019	4048	30
139	4049	4076	28
140	4077	4105	29
141	4106	4134	29
142	4135	4164	30
143	4165	4194	30
144	4195	4224	30	One more mistake in the given numeration
145	4225	4253	29
146	4254	4282	29
147	4283	4311	29
148	4312	4340	29
149	4341	4369	29
150	4370	4398	29
